fid,name,mv16,district,address,contact_name,contact_designation,membership,thana
605,Zara Garments Ltd.,Uttar Khan Police Station,Dhaka,,MD. Jannatul Islam Lilan,,Member,Uttar Khan
606,Tazzmira Apparels Limited,Ashulia Police Station,Dhaka,,Chandan Kumar Shikdar,,Member,Ashulia
607,Genetic Fashions Limited,Ashulia Police Station,Dhaka,,Chandan Kumar Shikdar,,Member,Ashulia
608,A.S. Garments & Textile Ltd.,Ashulia Police Station,Dhaka,,Kazi Nazmul Hasan,,Member,Ashulia
609,Richway Fashions Ltd.,Turag Police Station,Dhaka,,Engr. Badius Salam,,Member,Turag
610,South End Sweater Co. Ltd.,Turag Police Station,Dhaka,,Md. Suruzzaman Shaju,,Member,Turag
611,Icon Fashion Ltd.,Turag Police Station,Dhaka,,MD.Emarat Hossain Khan,,Member,Turag
612,Spirax Textile-Washing& Allied Industries Ltd.,Turag Police Station,Dhaka,,Mahedi Hasan Siyam,,Member,Turag
613,Emaz Fashion Wear Ltd.,Turag Police Station,Dhaka,,Md. Mohiuddin,,Member,Turag
614,Needle Fashion Ltd.,Turag Police Station,Dhaka,,Md. Mahmudul Haque (Palash),,Member,Turag
615,Anupom Fashion Wear Ltd.,Bhasantek Police Station,Dhaka,,Md. Abdul Halim Sajjad,,Member,Bhasantek
616,Classic Shirts Ltd.,Vatara Police Station,Dhaka,,Md. Jashim Ahsan,,Member,Vatara
617,Shamsher Apparels Ltd.,Gulshan Police Station,Dhaka,,Biddut Kanti Das,,Member,Gulshan
618,Shagore Garments Ltd.,Uttara West Police Station,Dhaka,,Md. Shamsuzzaman,,Member,Uttara West
619,Optimum Ltd.,Uttara West Police Station,Dhaka,,MD. Shamsuzzama,,Member,Uttara West
620,Hossains Ltd. Unit-1,Uttara Model Police Station,Dhaka,,MD. Mainuddin,,Member,Uttara Model
621,Hossains Ltd. Unit-3,Uttara Model Police Station,Dhaka,,MD. Mainuddin,,Member,Uttara Model
622,Hossains Ltd. Unit-2,Uttara Model Police Station,Dhaka,,MD. Mainuddin,,Member,Uttara Model
623,Corona Fashion Ltd,Khilkhet Police Station,Dhaka,,Helal Uddin Pramanik,,Member,Khilkhet
624,TBH Fashion Tex (Pvt.) Ltd,Khilkhet Police Station,Dhaka,,Md. Salim Hossain khan,,Member,Khilkhet
625,Titash Garments International Ltd.,Banani Police Station,Dhaka,,MD. Salim Miah,,Member,Banani
626,IFL Factory Ltd.,Turag Police Station,Dhaka,,MD. Mosharof Hossain.,,Member,Turag
627,Iftee Fashion Ltd.,Turag Police Station,Dhaka,,MD. Yasin Ferdosh Murad,,Member,Turag
628,Shafi Knit Ltd,Ashulia Police Station,Dhaka,,Md. Shahab Uddin,,Member,Ashulia
629,Smart Knitwears Ltd.,Ashulia Police Station,Dhaka,,Mizanur Rahman,,Member,Ashulia
630,Spartan Fashion Ltd.,Ashulia Police Station,Dhaka,,Rehena Akter,,Member,Ashulia
631,Mercer Design Tex Ltd.,Ashulia Police Station,Dhaka,,Subrato Das Guptto,,Member,Ashulia
632,Annesha Style Ltd.,Ashulia Police Station,Dhaka,,Md. Mohsin Hossain,,Member,Ashulia
633,Misami Garments Ltd.,Kafrul Police Station,Dhaka,,A B M Sirajul Islam Azad,,Member,Kafrul
634,Torque Fashions Ltd.,Ashulia Police Station,Dhaka,,Md. Jahurul Islam Ronju,,Member,Ashulia
635,NEEDLE FASHION Ltd.,Turag Police Station,Dhaka,,Md. Mahamudul Haque (Palash),,Member,Turag
636,Mozart Knit Ltd.,Ashulia Police Station,Dhaka,,Md. Asraful Alom (Babu),,Member,Ashulia
637,Naba Knit Composite Ltd.,Ashulia Police Station,Dhaka,,Mohammad Adam Ali,,Member,Ashulia
638,Crystal Apparels Ltd.,Tejgoan Police Station,Dhaka,,Rajib Das,,Member,Tejgoan
639,Shahil Apparels Ltd.,Pallabi Police Station,Dhaka,,Md.Shafiqul Islam,,Member,Pallabi
640,Prince Jacquard Sweater Ltd.,Ashulia Police Station,Dhaka,,Md. Sahin Alam,,Member,Ashulia
641,J.L. Sweater Ltd.,Ashulia Police Station,Dhaka,,Syed Sheikh Sadi,,Member,Ashulia
642,Reza Fashions Ltd.,Ashulia Police Station,Dhaka,,"Wing Commander Md. Monirul Islam,PSC(Retd.)",,Member,Ashulia
643,Majhees Textile Mills Ltd.,Ashulia Police Station,Dhaka,,Md. Zakaria Miah,,Member,Ashulia
644,The Dress & The Ideas,Ashulia Police Station,Dhaka,,Md. Akramul Haque,,Member,Ashulia
645,Orbid Apparels Ltd.,Ashulia Police Station,Dhaka,,Mr. Alim Al-Raji Tusher,,Member,Ashulia
646,Export Connection Ltd.,Adabor Police Station,Dhaka,,Md.Ashraf,,Member,Adabor
647,Shirin Apparels Ltd.,Adabor Police Station,Dhaka,,Ashrafur Rahman,,Member,Adabor
649,Amena (Pvt.) Ltd.,Uttara West Police Station,Dhaka,,TOFAZZAL HOSSAIN,,Member,Uttara West
650,Cosmopolitan Industries (Pvt) Ltd.,Ashulia Police Station,Dhaka,,Md. Naser,,Member,Ashulia
651,Spring Trade Ltd.,Ashulia Police Station,Dhaka,,Abdul Khalaque Sardar (Khaled),,Member,Ashulia
652,Radiance Jeans Ltd.,Ashulia Police Station,Dhaka,,A. J. M. Shamim Reja,,Member,Ashulia
653,Radiance Fashion Ltd.,Ashulia Police Station,Dhaka,,A. J. M. Shamim Reja,,Member,Ashulia
654,Pearls & Pouce Ltd.,Ashulia Police Station,Dhaka,,A. J. M. Shamim Reja,,Member,Ashulia
655,Eve Dress-Shirts Ltd.,Ashulia Police Station,Dhaka,,Salauddin Ahmed Rana,,Member,Ashulia
656,3-A Fashions Ltd.,Ashulia Police Station,Dhaka,,Sumshed Jahan,,Member,Ashulia
657,Akif Fashions Ltd.,Ashulia Police Station,Dhaka,,Md.Younus Mia,,Member,Ashulia
658,SAR International Clothing,Ashulia Police Station,Dhaka,,Abdul Kader,,Member,Ashulia
659,5f Apparels Ltd.,Ashulia Police Station,Dhaka,,MD. Razaul Karim,,Member,Ashulia
660,5f Apparels Ltd.,Ashulia Police Station,Dhaka,,MD.SHAMIM HOSSAIN,,Member,Ashulia
661,Habib Apparels Ltd.,Ashulia Police Station,Dhaka,,Md.Sholyman Kabir,,Member,Ashulia
662,Zon Ron Sweaters Ltd.,Ashulia Police Station,Dhaka,,Md. Ibrahim,,Member,Ashulia
663,Rising Apparels Ltd.,Rupnagor Police Station,Dhaka,,Mohammad Mobarak Hossain,,Member,Rupnagor
664,A.S. LIZA GARMENTS LTD.,Mirpur Police Station,Dhaka,"1087/1-2 (1ST FLOOR), EAST MONIPUR, MIRPUR, DHAKA-1216",MD. SHAHJAHAN SHEIKH,MANAGING DIRECTOR,Member,Mirpur
665,Joty Fashion Wear Ltd.,Badda Police Station,Dhaka,,Ahasun Ullah,,Member,Badda
666,ONR Sweater Ltd.,Ashulia Police Station,Dhaka,,Nazmul Islam Sakib,,Member,Ashulia
667,GTA Sports Ltd.,Ashulia Police Station,Dhaka,,Jafar Hossain,,Member,Ashulia
668,A J Fashions Ltd.,Bhasantek Police Station,Dhaka,,Md. Maminul Islam,,Member,Bhasantek
669,Tishanu Apparels Ltd.,Kafrul Police Station,Dhaka,,Masud Kobir,,Member,Kafrul
670,EVINCE LIMITED,Pallabi Police Station,Dhaka,"PLOT 33 (1ST FLOOR), ROAD NO 7, MILK VITA ROAD, SECTION 7, MIRPUR, DHAKA-1216",MOYNUL KABIR MUNNA,MANAGER (ADMIN),Member,Pallabi
671,Skyline Garments Ltd.,Ashulia Police Station,Dhaka,,H. S. Masud Kamal Khan,,Member,Ashulia
672,Skyline Apparels Ltd.,Ashulia Police Station,Dhaka,,H. S. Masud Kamal Khan,,Member,Ashulia
673,Good Rich Sweaters Ltd.,Ashulia Police Station,Dhaka,,H. S. Masud Kamal Khan,,Member,Ashulia
